Evidence_ID,Evidence_Name,Evidence_Type,Description,Related_Requirement,Related_Control,Primary_Owner,System_of_Record,Minimum_Frequency,Retention_Guidance,Audit_Use,Status
EVD-001,ARB Decision Record,Decision Record,Approved ARB decision including scope rationale conditions and owner,ETP-RQ-0002,CTRL-002,Enterprise Architecture,ServiceNow EA / GitHub,Per material change,Retain per records policy and audit need,Proves material changes were reviewed before implementation,Active
EVD-002,Architecture Evidence Pack,Evidence Package,Complete architecture submission evidence including diagrams controls risk and implementation plan,ETP-RQ-0019,CTRL-019,Enterprise Architecture,ServiceNow EA / SharePoint,Per ARB submission,Retain per records policy and audit need,Proves design-time due diligence,Active
EVD-003,Architecture Repository Object,Repository Record,Current architecture object with owner domain lifecycle and related services,ETP-RQ-0003,CTRL-003,Enterprise Architecture,ServiceNow EA/APM,Quarterly,Retain current plus history as available,Proves repository operation and architecture inventory,Active
EVD-004,Governance Object Metadata Record,Metadata Record,Canonical object metadata including ID owner status related controls and regulatory mapping,ETP-RQ-0004,CTRL-004,Enterprise Architecture,GitHub / ServiceNow,Quarterly,Retain version history,Proves governance objects are controlled and traceable,Active
EVD-005,Master Document Register Extract,Register Extract,Approved controlled document inventory with owner status and review cadence,ETP-RQ-0005,CTRL-005,Enterprise Architecture,GitHub,Quarterly,Retain version history,Supports policy and standards inventory audit,Active
EVD-006,Master Requirements Register Extract,Register Extract,Approved requirement inventory mapped to owners standards and controls,ETP-RQ-0006,CTRL-006,Enterprise Architecture,GitHub,Quarterly,Retain version history,Supports requirement traceability audit,Active
EVD-007,Master Control Register Extract,Register Extract,Approved control inventory mapped to requirements evidence and systems of record,ETP-RQ-0007,CTRL-007,Technology Risk / EA,GitHub / Archer / ServiceNow IRM,Quarterly,Retain version history,Supports control design and operating evidence audit,Active
EVD-008,Regulatory Traceability Matrix Extract,Traceability Matrix,Mapping of requirements and controls to regulatory and framework drivers,ETP-RQ-0008,CTRL-008,Technology Risk / EA,GitHub / Archer,Quarterly,Retain version history,Proves regulatory mapping and coverage,Active
EVD-009,Architecture Principles Register,Register Extract,Controlled architecture principles and decision rules,ETP-RQ-0009,CTRL-009,Enterprise Architecture,GitHub,Annual,Retain version history,Proves principles are governed and reusable,Active
EVD-010,Business Capability Mapping Extract,Mapping Extract,Architecture objects mapped to business capabilities and services,ETP-RQ-0010,CTRL-010,Enterprise Architecture,ServiceNow EA/CSDM,Quarterly,Retain current plus history as available,Proves capability-first architecture alignment,Active
EVD-011,Application Portfolio Review Report,Review Report,Portfolio assessment covering ownership lifecycle redundancy risk and rationalization,ETP-RQ-0011,CTRL-011,Application Architecture,ServiceNow APM,Quarterly,Retain per portfolio governance cadence,Supports APM and rationalization governance,Active
EVD-012,Technology Lifecycle Exception Report,Exception Report,EOL/EOS lifecycle risks exceptions and remediation status,ETP-RQ-0012,CTRL-012,Enterprise Architecture / Technology Owners,ServiceNow / Archer,Monthly,Retain open plus closure history,Supports lifecycle risk governance and audit scrutiny,Active
EVD-013,Cloud Architecture Review Evidence,Review Evidence,Cloud guardrail review landing zone control mapping and exception record,ETP-RQ-0013,CTRL-013,Cloud Architecture,ServiceNow EA / Azure Policy / Archer,Per material change,Retain per records policy and audit need,Proves cloud governance before implementation,Active
EVD-014,Infrastructure and Network Architecture Review Evidence,Review Evidence,Infrastructure and network design review including resilience segmentation and security controls,ETP-RQ-0014,CTRL-014,Infrastructure / Network Architecture,ServiceNow EA/CMDB,Per material change,Retain per records policy and audit need,Proves infrastructure/network design due diligence,Active
EVD-015,Security Architecture Review Evidence,Review Evidence,Threat model secure design review security requirements and residual risk disposition,ETP-RQ-0015,CTRL-015,Security Architecture,Archer / ServiceNow IRM,Per material change,Retain per records policy and audit need,Proves secure-by-design review,Active
EVD-016,IAM Architecture Review Evidence,Review Evidence,Identity access authorization privileged access and SoD review evidence,ETP-RQ-0016,CTRL-016,IAM / Security Architecture,Archer / ServiceNow IRM,Per material change,Retain per records policy and audit need,Supports IAM and access governance review,Active
EVD-017,Data Classification and Protection Evidence,Review Evidence,Data classification privacy encryption retention and access protection evidence,ETP-RQ-0017,CTRL-017,Data Governance / Security Architecture,Data Catalog / Archer,Per material change,Retain per records policy and audit need,Supports GLBA privacy and data protection review,Active
EVD-018,API Product Review Evidence,Review Evidence,API product metadata ownership versioning security and reuse assessment,ETP-RQ-0018,CTRL-018,Integration Architecture,API Gateway / Developer Portal / ServiceNow,Per API lifecycle event,Retain per API lifecycle,Supports API governance and reuse review,Active
EVD-019,DevSecOps Control Evidence,Pipeline Evidence,Pipeline evidence for code scanning dependency scanning secrets testing and release gates,ETP-RQ-0019,CTRL-019,Engineering / DevSecOps,ADO / Jira / GitHub,Per release,Retain per SDLC evidence rules,Supports secure engineering and CI/CD guardrail audit,Active
EVD-020,Exception or Waiver Approval Record,Exception Record,Approved exception or waiver with risk acceptance owner expiration and remediation plan,ETP-RQ-0020,CTRL-020,Enterprise Architecture / Risk Owner,ServiceNow / Archer,Per exception,Retain open plus closure history,Supports deviation governance audit,Active
EVD-021,Operational Resilience Review Evidence,Review Evidence,Availability recovery dependency and impact tolerance review evidence,ETP-RQ-0021,CTRL-021,Technology Resilience / Operations,ServiceNow / Archer,Annual or material change,Retain per resilience governance cadence,Supports operational resilience governance,Active
EVD-022,Backup and Recovery Test Evidence,Test Evidence,Backup configuration recovery test results and remediation actions,ETP-RQ-0022,CTRL-022,Technology Operations,Backup Platform / ServiceNow,At least annually or per tier,Retain test history,Supports recovery capability audit,Active
EVD-023,Observability Coverage Report,Monitoring Report,Logging monitoring tracing alerting and ownership coverage by application/service,ETP-RQ-0023,CTRL-023,Operations / SRE / Architecture,Observability Platform / ServiceNow,Quarterly,Retain trend history,Supports operational readiness and incident response review,Active
EVD-024,Third-Party Architecture Review Evidence,Review Evidence,Vendor/SaaS architecture integration security resilience and exit assessment,ETP-RQ-0024,CTRL-024,TPRM / Enterprise Architecture,Archer / ServiceNow,Per material third-party change,Retain vendor review history,Supports third-party risk governance,Active
EVD-025,Buy-Build Decision Record,Decision Record,Documented decision comparing internal build external product strategic platform and risk,ETP-RQ-0025,CTRL-025,Enterprise Architecture / Product Owner,ServiceNow EA / GitHub,Per material decision,Retain decision history,Supports investment and duplication control,Active
EVD-026,AI Governance Review Evidence,Review Evidence,AI use case review including model risk security privacy data and human oversight controls,ETP-RQ-0026,CTRL-026,AI Governance / EA,AI Governance System / Archer,Per AI use case,Retain model/use-case history,Supports AI governance and model risk review,Active
EVD-027,CMDB CSDM Relationship Evidence,Relationship Extract,CI service application capability and owner relationship completeness extract,ETP-RQ-0027,CTRL-027,CMDB Owner / Enterprise Architecture,ServiceNow CSDM/CMDB,Quarterly,Retain trend history,Supports service and asset alignment audit,Active
EVD-028,Architecture Workforce Enablement Evidence,Training Evidence,EA skills community training participation and standards enablement evidence,ETP-RQ-0028,CTRL-028,Enterprise Architecture,Learning Platform / GitHub,Quarterly,Retain annual history,Supports workforce enablement and standard adoption,Active
EVD-029,Governance Metrics Dashboard,Dashboard,Monthly metrics dashboard showing ARB controls exceptions lifecycle evidence and RTM health,ETP-RQ-0029,CTRL-029,Enterprise Architecture,Dashboard / ServiceNow / Archer,Monthly,Retain monthly snapshots,Supports executive governance reporting,Active
EVD-030,Standards Review Evidence,Review Evidence,Evidence of annual or material-change standards review and approval,ETP-RQ-0030,CTRL-030,Enterprise Architecture,GitHub / ServiceNow,Annual,Retain version history,Supports standards lifecycle governance,Active
EVD-031,Finding Remediation Evidence,Remediation Evidence,Issue/finding remediation status closure artifacts and validation evidence,ETP-RQ-0031,CTRL-031,Control Owner / Risk Owner,Archer / ServiceNow IRM,Monthly until closed,Retain closure history,Supports audit finding remediation,Active
EVD-032,Release Package Evidence,Release Evidence,Controlled publication package release index approval evidence and version baseline,ETP-RQ-0032,CTRL-032,Enterprise Architecture,GitHub / Publication Repository,Per release,Retain release history,Supports controlled publication and change history,Active
