PrincipleID,PrincipleName,Category,Level,Statement,Rationale,RequiredPattern,RequiredPractice,Owner,DecisionUse,RelatedStandards,RelatedRequirements,Status
PR-001,Policy Governs Standards Implement Procedures Execute,Architecture Governance,Enterprise,"The Bank shall maintain clear separation between policy authority, standards implementation, and procedure execution.",Prevents ambiguity in governance ownership and audit evidence.,Governance object hierarchy,Map every standard to policy and every procedure to a standard,Head of Enterprise Architecture,ARB and policy review,ETS-001;ETS-002,ETP-RQ-0001,Active
PR-002,ARB Before Material Change,Architecture Governance,Enterprise,"Material technology changes shall receive ARB review before implementation.",Reduces ungoverned architecture risk and late-stage rework.,ARB decision record,Require ADR and evidence pack before implementation,CIO / Head of EA,ARB gating,ETS-001;ETS-002,ETP-RQ-0002,Active
PR-003,One Meaning of Data,Data Architecture,Enterprise,"Authoritative data concepts shall have one governed meaning across business capabilities, applications, reporting, and integration.",Reduces reconciliation defects, control breaks, and inconsistent regulatory reporting.,Canonical data definition,Map data objects to authoritative source and data owner,Data Architecture,Data design review,ETS-001,ETP-RQ-0014,Active
PR-004,APIs Are Products,API and Integration,Enterprise,"APIs shall be governed as reusable products with owners, lifecycle states, contracts, security controls, and discoverability.",Improves reuse and reduces point-to-point integration risk.,API product catalog,Publish API contract and owner in approved catalog,Integration Architecture,API design review,ETS-001,ETP-RQ-0015,Active
PR-005,Secure By Design,Security Architecture,Enterprise,"Security requirements shall be embedded in architecture and engineering design before build, purchase, or implementation.",Prevents expensive downstream remediation and reduces cyber/control exposure.,Threat model and security pattern,Complete security review before design approval,Security Architecture,Security architecture review,ETS-001;ETS-002,ETP-RQ-0012,Active
PR-006,Resilient By Design,Operational Resilience,Enterprise,"Technology solutions shall be designed to meet business availability, recovery, observability, and continuity requirements.",Supports operational resilience and banking service continuity.,Resilience assessment pattern,Define RTO/RPO/availability and evidence testing before go-live,Technology Operations / EA,ARB resilience review,ETS-001;ETS-003,ETP-RQ-0021,Active
PR-007,Cloud With Guardrails,Cloud Architecture,Enterprise,"Cloud adoption shall use approved landing zones, identity, encryption, network, observability, and cost-management patterns.",Avoids unmanaged cloud proliferation and weak control inheritance.,Approved landing zone pattern,Use approved cloud reference architecture and tagging,Cloud Architecture,Cloud design review,ETS-001;ETS-003,ETP-RQ-0010,Active
PR-008,Buy Before Build But Do Not Buy Blind,External Product,Enterprise,"External product adoption shall consider strategic fit, risk, integration, data, resilience, lifecycle, and exit complexity before approval.",Prevents uncontrolled SaaS/vendor sprawl and concentration risk.,Buy/build decision matrix,Perform architecture and third-party review before selection,EA / TPRM,Product selection review,ETS-001;ETS-003,ETP-RQ-0024;ETP-RQ-0025,Active
PR-009,Design For Observability,Operational Resilience,Enterprise,"Solutions shall provide telemetry, logs, traces, metrics, alerting, and supportability aligned to production criticality.",Improves incident response, service reliability, and evidence generation.,Observability pattern,Define telemetry and alerting before production release,Operations Architecture,Production readiness review,ETS-001;ETS-003,ETP-RQ-0023,Active
PR-010,Technology Lifecycle Is Managed Risk,Technology Lifecycle,Enterprise,"Technology lifecycle state shall be visible, governed, and tied to risk acceptance or remediation.",EOL/EOS and tolerated technologies create latent operational and security risk.,Lifecycle state model,Assign lifecycle owner and remediation plan,Head of EA / Technology Owners,Lifecycle review,ETS-003,ETP-RQ-0009,Active
PR-011,Capability First Architecture,Business Architecture,Enterprise,"Architecture decisions shall map to business capabilities, value streams, and services before solution selection.",Improves investment alignment and reduces local optimization.,Capability map pattern,Map initiative to capability and service model,Business Architecture,Portfolio review,ETS-001,ETP-RQ-0008,Active
PR-012,Evidence Or It Did Not Happen,Governance Evidence,Enterprise,"Architecture decisions, controls, exceptions, and approvals shall be supported by retained evidence in approved systems of record.",Auditability requires durable evidence, not verbal consensus.,Evidence pack pattern,Attach evidence to ARB and control objects,Technology Risk / EA,Audit review,ETS-002,ETP-RQ-0019,Active
