Backlog ID,Workstream,Title,Description,Primary Owner,Target System,Dependency,Priority,Status,Target Release
ADOPT-001,Repository Stewardship,Confirm repository owner model,Confirm named owner and reviewer group for Technology Policy source-controlled baseline,Enterprise Architecture,GitHub,Final publication baseline,High,Open,Post-publication
ADOPT-002,ServiceNow,Confirm ServiceNow target tables,Validate target tables and fields for EA/APM/CSDM/CMDB/IRM implementation,Platform Owner / EA,ServiceNow,Field mapping catalog,High,Open,TP-v0.3
ADOPT-003,ServiceNow,Run ServiceNow import dry-run,Perform controlled dry-run using import sequencing and data quality rules,Platform Owner / EA,ServiceNow,ADOPT-002,High,Open,TP-v0.3
ADOPT-004,Archer IRM,Confirm Archer/IRM object model,Validate target object types and field mappings for risk/control/evidence imports,Risk Governance / IRM Owner,Archer / ServiceNow IRM,Field mapping catalog,High,Open,TP-v0.3
ADOPT-005,Archer IRM,Run Archer/IRM import dry-run,Perform controlled dry-run for policies standards requirements controls evidence exceptions and citations,Risk Governance / IRM Owner,Archer / ServiceNow IRM,ADOPT-004,High,Open,TP-v0.3
ADOPT-006,ADO Jira,Confirm delivery work item model,Validate work item types states and required fields for architecture and control adoption backlog,Delivery Leads / PMO,ADO / Jira,Workflow mapping,Medium,Open,TP-v0.3
ADOPT-007,ADO Jira,Create control adoption epic,Create delivery epic and child work items for control adoption and implementation tasks,Delivery Leads / PMO,ADO / Jira,ADOPT-006,Medium,Open,TP-v0.3
ADOPT-008,Evidence Operations,Assign control evidence owners,Assign owner for each recurring evidence object in evidence library,Technology Risk / EA,ServiceNow / Archer / SharePoint,Evidence library,High,Open,TP-v0.3
ADOPT-009,Evidence Operations,Create evidence collection calendar,Define monthly quarterly and annual evidence collection cadence,Technology Risk / EA,ServiceNow / Archer / SharePoint,ADOPT-008,High,Open,TP-v0.3
ADOPT-010,ARB Operations,Activate ADR template usage,Require ADR template for material ARB decisions,ARB Chair,GitHub / ServiceNow,ARB operating model,High,Open,Post-publication
ADOPT-011,ARB Operations,Activate evidence pack usage,Require evidence pack template for material change review,ARB Chair,ServiceNow / GitHub,Architecture evidence pack template,High,Open,Post-publication
ADOPT-012,Exception Governance,Operationalize exception register,Confirm exception register owner cadence and review forum,ARB / Technology Risk,ServiceNow / Archer / GitHub,Exception standard,High,Open,Post-publication
ADOPT-013,Metrics Reporting,Establish monthly dashboard process,Create recurring operating process for governance metrics and executive reporting,EA / Technology Risk,Dashboard / Monthly Report,Metrics register,Medium,Open,TP-v0.3
ADOPT-014,Publication Routing,Move artifacts to enterprise DMS,Load final publication artifacts into enterprise document management workflow,Office of CIO / Policy Governance,Enterprise DMS,Final publication certificate,High,Open,Post-publication
ADOPT-015,Training Awareness,Create stakeholder communication,Create communication package for EA ARB technology risk and delivery stakeholders,EA / Office of CIO,Email / SharePoint / Teams,Final publication baseline,Medium,Open,Post-publication
ADOPT-016,Change Control,Activate baseline change-control process,Enforce repository governance rules for future substantive baseline changes,Enterprise Architecture,GitHub,Repository governance,High,Open,Post-publication
