Object Type,Target Archer / IRM Object,Required Key Fields,Recommended Fields,Source Register,Primary Owner,Validation Rule,Notes
Policy,Policy Library Object,policy_id;name;owner;status;version,review_frequency;approver;effective_date;retirement_date;related_standards,governance/technology-policy/TECHNOLOGY_POLICY_BOOTSTRAP.md,Enterprise Architecture / Technology Risk,Policy must have owner status version and review cadence,Policy governs and must not be embedded only in procedures
Standard,Standard Library Object,standard_id;name;owner;status;version,policy_id;domain;control_family;review_frequency;related_requirements,governance/standards/ENTERPRISE_ARCHITECTURE_STANDARD.md,Enterprise Architecture,Standard must map to governing policy and at least one requirement,Standards implement policy
Requirement,Requirement / Obligation Object,requirement_id;requirement_text;owner;status,policy_id;standard_id;regulatory_mapping;control_id;criticality,registers/master/master_requirements_register_expanded.csv,Enterprise Architecture / Technology Risk,Requirement must map to a policy domain and control,Use stable ETP-RQ identifiers
Control,Control Object,control_id;name;objective;owner;frequency,mapped_requirement;control_type;evidence_source;testing_method;regulatory_mapping,registers/master/master_control_register_expanded.csv,Control Owner / Technology Risk,Control must map to requirement evidence and test method,Control without evidence is not audit-ready
Evidence,Evidence Object,evidence_id;control_id;period;owner;status,evidence_type;source_system;collection_date;reviewer;retention_period,governance/evidence/evidence_library_register.csv,Control Owner,Evidence must be period-bound and traceable to source system,Store attachments per enterprise records policy
Risk,Risk Register Object,risk_id;title;owner;rating;status,related_requirement;related_control;related_exception;inherent_risk;residual_risk,governance/technology-policy/CONTROL_PLANE_IMPLEMENTATION_MAPPING.md,Technology Risk,Risk must have rating owner treatment and relationship to controls,Architecture risk should not be hidden as informal design commentary
Issue / Finding,Issue or Finding Object,issue_id;title;owner;severity;due_date,related_control;root_cause;management_action_plan;status;validation_method,governance/evidence/AUDIT_EVIDENCE_PACKAGE_GUIDE.md,Technology Risk / Control Owner,Findings must have owner due date root cause and closure evidence,Use for audit regulatory and self-identified issues
Exception / Waiver,Risk Exception Object,exception_id;title;owner;expiry_date;status,related_standard;related_requirement;risk_rating;compensating_control;remediation_plan,registers/governance/exception_waiver_register.csv,ARB / Technology Risk,Exceptions and waivers must expire and be reviewed,Open-ended exceptions should be treated as control failures
Regulatory Citation,Regulatory Obligation Object,citation_id;source;topic;status,related_requirement;related_control;applicability;owner;review_frequency,registers/traceability/regulatory_traceability_matrix.csv,Compliance / Technology Risk,Citation must map to requirement and control where applicable,Maintain FFIEC OCC FDIC Fed NIST CIS COBIT ISO mappings
Control Test,Control Test Object,test_id;control_id;tester;period;result,test_method;sample_size;exceptions_found;remediation_required;reviewer,registers/master/master_control_register_expanded.csv,Technology Risk / Internal Control,Control test must tie to evidence and result,Supports quarterly governance review
