Rule ID,Object Domain,System,Rule Name,Rule Description,Severity,Validation Type,Failure Action,Owner,Review Cadence
DQR-001,All Governance Objects,GitHub,Unique Object ID,Every governed object shall have a unique stable ID using the approved prefix pattern.,Critical,Uniqueness,Reject import,Enterprise Architecture,Every import
DQR-002,All Governance Objects,GitHub,Required Metadata,Every governed object shall include ID name object type owner status version and review frequency.,Critical,Completeness,Reject import,Enterprise Architecture,Every import
DQR-003,Requirements,GitHub,Requirement Control Mapping,Every active requirement shall map to at least one active control.,Critical,Relationship,Reject publication,Technology Risk,Monthly
DQR-004,Controls,Archer/IRM,Control Evidence Mapping,Every active control shall map to at least one evidence object and one system of record.,Critical,Relationship,Reject publication,Technology Risk,Monthly
DQR-005,Evidence,Archer/IRM,Evidence Freshness,Evidence used for active control testing shall be current within the defined review period.,High,Freshness,Flag exception,Technology Risk,Monthly
DQR-006,Architecture Decisions,ServiceNow EA/APM,ARB Decision Required,Material technology changes shall have an approved ARB decision record before implementation.,Critical,Workflow Gate,Block implementation,Enterprise Architecture,Every ARB cycle
DQR-007,Applications,ServiceNow APM,Application Capability Mapping,Every governed application shall map to at least one business capability and one accountable owner.,High,Relationship,Reject import,Application Architecture,Monthly
DQR-008,Services,ServiceNow CSDM,CSDM Service Relationship,Every business service shall map to supporting technical services where applicable.,High,Relationship,Flag remediation,ServiceNow Platform Owner,Monthly
DQR-009,CMDB,ServiceNow CMDB,CI Ownership,Every governed CI shall have an owner lifecycle state and authoritative source.,High,Completeness,Reject import,CMDB Owner,Monthly
DQR-010,Exceptions,ServiceNow/Archer,Exception Expiration,Every exception shall have an expiration date remediation owner and compensating control.,Critical,Completeness,Reject exception,Enterprise Architecture,Every submission
DQR-011,Waivers,ServiceNow/Archer,Waiver Approval Authority,Every waiver shall identify approving body scope rationale and review date.,Critical,Completeness,Reject waiver,Enterprise Architecture,Every submission
DQR-012,Technology Lifecycle,ServiceNow APM/CMDB,Lifecycle State Validity,Technology lifecycle state shall use approved values only.,High,Controlled Vocabulary,Reject import,Enterprise Architecture,Every import
DQR-013,Regulatory Traceability,GitHub/Archer,Regulatory Mapping Coverage,Every critical requirement shall map to at least one regulatory or framework driver unless explicitly classified as internal management practice.,High,Relationship,Flag review,Technology Risk,Monthly
DQR-014,Controls,Archer/IRM,Control Frequency Validity,Control frequency shall use approved values and align to risk criticality.,Medium,Controlled Vocabulary,Flag remediation,Technology Risk,Quarterly
DQR-015,ADO/Jira Work Items,ADO/Jira,Delivery Traceability,Every governance remediation work item shall reference source requirement control or exception ID.,High,Relationship,Reject backlog item,Delivery Governance,Every sprint
DQR-016,Metrics,ServiceNow/Archer/GitHub,Metric Source Validation,Every governance metric shall identify source system calculation logic owner and cadence.,Medium,Completeness,Flag remediation,Enterprise Architecture,Monthly
DQR-017,Standards,GitHub,Standard Requirement Mapping,Every standard shall map to at least one requirement or documented advisory classification.,High,Relationship,Reject publication,Enterprise Architecture,Quarterly
DQR-018,Patterns,GitHub,Pattern Principle Mapping,Every approved solution pattern shall map to at least one architecture principle and one standard domain.,Medium,Relationship,Flag remediation,Enterprise Architecture,Quarterly
DQR-019,Third Party Technology,Archer/ServiceNow,Third Party Architecture Review,Third-party technology records shall link to architecture review and risk assessment evidence when material.,High,Relationship,Flag remediation,TPRM / EA,Monthly
DQR-020,AI / Emerging Technology,ServiceNow/Archer,AI Governance Review,AI and emerging technology submissions shall link to AI governance review and applicable model risk evidence.,High,Workflow Gate,Block implementation,AI Governance / EA,Every submission
