Object Type,Target ServiceNow Module,Target Table Candidate,Required Key Fields,Recommended Fields,Source Register,Primary Owner,Validation Rule,Notes
Architecture Object,ServiceNow EA,Architecture object / enterprise architecture repository,architecture_object_id;name;object_type;owner;status,business_capability;application;technology_service;related_requirement;related_control;related_standard,schemas/json/technology-governance-object.schema.json,Enterprise Architecture,Every architecture object must have stable ID owner lifecycle state and related governance object where applicable,Exact table names should be confirmed against licensed ServiceNow EA module configuration
Application,ServiceNow APM,Application portfolio table,application_id;name;business_owner;technology_owner;lifecycle_state,business_capability;criticality;data_classification;hosting_model;vendor;related_service,registers/master/master_requirements_register_expanded.csv,Application Architecture,Applications must map to at least one business capability and one accountable owner,Use APM as authoritative application portfolio source
Business Capability,ServiceNow CSDM / EA,Business capability table,capability_id;name;level;owner;status,parent_capability;business_domain;related_application;related_service,knowledge/taxonomy/enterprise_technology_taxonomy_seed.md,Enterprise Architecture,Capabilities must support hierarchy and relationship mapping,Align with BIAN where banking-domain appropriate
Business Service,ServiceNow CSDM,Business service table,business_service_id;name;owner;criticality;status,business_capability;supporting_application;supporting_technical_service;operational_resilience_tier,knowledge/object-model/enterprise_object_model.md,Enterprise Architecture / Operations,Business services must map to capabilities and supporting technical services,CSDM relationship quality is a governance metric
Technical Service,ServiceNow CSDM,Technical service table,technical_service_id;name;service_owner;status,supporting_ci;supporting_application;service_offering;operational_owner,knowledge/object-model/enterprise_object_model.md,Technology Operations,Technical services must have support owner and CI relationship,Do not create orphan technical services
Configuration Item,ServiceNow CMDB,cmdb_ci and subclasses,ci_id;name;class;owner;status,application;technical_service;environment;hosting_platform;discovery_source,integrations/servicenow/servicenow_import_templates.csv,Technology Operations,CI must have authoritative discovery/source and relationship to service where applicable,EA defines intent Ops executes CMDB maintenance
Requirement,ServiceNow IRM / EA custom object,Policy requirement object,requirement_id;requirement_text;owner;status,policy_domain;standard;control_id;regulatory_mapping;review_frequency,registers/master/master_requirements_register_expanded.csv,Enterprise Architecture / Technology Risk,Requirement must map to at least one control or documented rationale,Used for policy control-plane traceability
Control,ServiceNow IRM,Control objective table,control_id;name;owner;frequency;status,mapped_requirement;evidence_source;test_method;regulatory_mapping;control_type,registers/master/master_control_register_expanded.csv,Technology Risk / Control Owner,Control must map to requirement and evidence source,IRM may be ServiceNow or Archer depending final operating design
Evidence,ServiceNow IRM / GRC Evidence,Evidence object / attachment,evidence_id;control_id;owner;period;status,evidence_type;source_system;collection_date;reviewer;retention_period,governance/evidence/evidence_library_register.csv,Control Owner / Evidence Owner,Evidence must be time-bound owner-attested and reviewable,Evidence without control mapping is not governance evidence
Exception / Waiver,ServiceNow IRM / Risk Exception,Exception object,exception_id;related_standard;related_requirement;owner;expiry_date,risk_rating;compensating_control;remediation_plan;approver;review_cadence,registers/governance/exception_waiver_register.csv,ARB / Technology Risk,No exception or waiver may be open-ended,Monthly review required for high-risk exceptions
ARB Decision,ServiceNow EA / Governance Workflow,Decision record,decision_id;submission_id;decision;decision_date;approver,conditions;related_requirement;related_control;related_exception;implementation_due_date,governance/templates/architecture_decision_record_template.md,Architecture Review Board,Material change decisions must be captured before implementation,ARB is approval gate not advisory theater
