Traceability ID,Requirement ID,Control ID,Policy Domain,Primary Regulatory Driver,Secondary Frameworks,ServiceNow Object,Archer/IRM Object,Evidence Source,Review Cadence,Owner,Status
RTM-001,ETP-RQ-0001,CTRL-001,Technology Governance,FFIEC Management; OCC Heightened Standards,COBIT; NIST CSF GV,Policy Exception; Governance Decision,Risk Control; Policy Exception,Approved policy and governance charter,Annual,Head of Enterprise Architecture,Active
RTM-002,ETP-RQ-0002,CTRL-002,Architecture Governance,FFIEC Architecture Infrastructure and Operations; OCC Heightened Standards,TOGAF; COBIT; NIST CSF GV,Architecture Review; Decision Record,Control Procedure; Risk Acceptance,ARB minutes and decision record,Per ARB cycle,Head of Enterprise Architecture,Active
RTM-003,ETP-RQ-0003,CTRL-003,Architecture Repository,FFIEC Architecture Infrastructure and Operations,NIST CSF ID; COBIT; TOGAF,Architecture Artifact; APM Application,Control Evidence; Technology Risk Record,Repository metadata and object linkage,Quarterly,Enterprise Architecture,Active
RTM-004,ETP-RQ-0004,CTRL-004,Business Capability Architecture,OCC Heightened Standards; FFIEC Management,BIAN; TOGAF; COBIT,Business Capability; Business Service,Control Evidence,Capability-to-application mapping,Quarterly,Enterprise Architecture,Active
RTM-005,ETP-RQ-0005,CTRL-005,Application Portfolio Management,FFIEC Architecture Infrastructure and Operations,NIST CSF ID.AM; COBIT; CIS Controls,APM Application; Technology Portfolio,Application Risk Record; Control Evidence,Application inventory and lifecycle state,Quarterly,Application Architecture,Active
RTM-006,ETP-RQ-0006,CTRL-006,Technology Lifecycle,FFIEC Architecture Infrastructure and Operations; Interagency Third-Party Risk Management,NIST CSF ID; CIS Controls; COBIT,Technology Model; Product Model,Technology Risk Record; Issue,Technology lifecycle and exception register,Quarterly,Enterprise Architecture,Active
RTM-007,ETP-RQ-0007,CTRL-007,Cloud Platform Architecture,FFIEC Architecture Infrastructure and Operations; GLBA Safeguards,NIST SP 800-53; NIST CSF; CIS Controls,Cloud Service; Technical Service,Cloud Control; Risk Record,Cloud architecture review and landing zone controls,Per material change,Cloud Architecture,Active
RTM-008,ETP-RQ-0008,CTRL-008,Security Architecture,GLBA Safeguards; FFIEC Cybersecurity Assessment Tool,NIST SP 800-53; NIST CSF; CIS Controls,Security Review; Architecture Review,Security Control; Risk Acceptance,Security architecture assessment,Per material change,Security Architecture,Active
RTM-009,ETP-RQ-0009,CTRL-009,Data Protection Architecture,GLBA Safeguards; SEC Regulation S-P; NYDFS 23 NYCRR 500,NIST SP 800-53; ISO 27001; CIS Controls,Data Classification; Application Record,Privacy Risk; Data Control,Data classification and protection evidence,Per material change,Data Architecture,Active
RTM-010,ETP-RQ-0010,CTRL-010,API and Integration Architecture,FFIEC Architecture Infrastructure and Operations,NIST CSF PR; CIS Controls; OWASP API,API Catalog; Integration Service,API Control; Risk Record,API catalog and gateway policy evidence,Quarterly,Integration Architecture,Active
RTM-011,ETP-RQ-0011,CTRL-011,Secure Engineering and DevSecOps,FFIEC Development and Acquisition; GLBA Safeguards,NIST SSDF; NIST SP 800-53; CIS Controls,Pipeline; Change Request,Secure SDLC Control; Control Test,Pipeline security scan and approval evidence,Per release,Engineering Enablement,Active
RTM-012,ETP-RQ-0012,CTRL-012,Operational Resilience,Federal Reserve SR 20-24; FFIEC Business Continuity Management,NIST CSF RC; NIST SP 800-34; COBIT,Technical Service; Business Service,Resilience Control; Issue,Recovery test and resilience assessment,Semiannual,Technology Operations,Active
RTM-013,ETP-RQ-0013,CTRL-013,Third-Party Technology Architecture,Interagency Third-Party Risk Management Guidance; OCC Heightened Standards,NIST CSF GV.SC; ISO 27001,Vendor Product; Technology Product,Third-Party Risk; Control Evidence,TPRM assessment and architecture review,Per onboarding and annual,TPRM and Architecture,Active
RTM-014,ETP-RQ-0014,CTRL-014,AI and Emerging Technology,NIST AI RMF; Model Risk Management Guidance,NIST CSF; ISO 42001; COBIT,AI Use Case; Model Record,Model Risk; AI Control,AI use-case review and model risk evidence,Per use case,AI Governance and EA,Active
RTM-015,ETP-RQ-0015,CTRL-015,CMDB and Asset Alignment,FFIEC Architecture Infrastructure and Operations,NIST CSF ID.AM; ServiceNow CSDM; CIS Controls,CMDB CI; Business Service; Technical Service,Asset Control; Configuration Control,CMDB relationship and ownership evidence,Monthly,ServiceNow Platform Owner and EA,Active
RTM-016,ETP-RQ-0016,CTRL-016,Architecture Workforce and Community,OCC Heightened Standards; FFIEC Management,TOGAF; COBIT; Skills Framework,Knowledge Article; Training Record,Governance Evidence,Training and community-of-practice records,Quarterly,Head of Enterprise Architecture,Active
